,AREA_TITLE,OCC_TITLE,OCC_CODE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_PCT10,H_PCT25,H_MEDIAN,H_MEAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_MEAN,A_PCT75,A_PCT90
75,Alabama,Operations Research Analysts,15-2031,560,0.292,0.42,26.40,34.86,49.57,49.09,62.19,74.69,"54,920","72,520","103,100","102,100","129,360","155,360"
802,Alaska,Operations Research Analysts,15-2031,120,0.391,0.57,20.84,23.79,32.98,36.49,45.94,60.22,"43,340","49,480","68,590","75,900","95,550","125,260"
1329,Arizona,Operations Research Analysts,15-2031,"1,680",0.594,0.86,22.15,27.90,37.90,39.80,49.06,60.87,"46,070","58,020","78,830","82,770","102,050","126,620"
2055,Arkansas,Operations Research Analysts,15-2031,270,0.225,0.33,16.73,21.45,27.61,30.33,36.76,48.45,"34,810","44,610","57,430","63,080","76,450","100,770"
2725,California,Operations Research Analysts,15-2031,"8,940",0.544,0.79,28.05,35.82,48.63,52.09,63.10,77.96,"58,340","74,510","101,160","108,350","131,250","162,160"
3521,Colorado,Operations Research Analysts,15-2031,790,0.307,0.44,26.61,34.43,43.70,45.03,55.52,65.50,"55,350","71,620","90,890","93,660","115,470","136,240"
4261,Connecticut,Operations Research Analysts,15-2031,990,0.645,0.93,23.22,29.31,40.20,42.19,52.59,63.04,"48,300","60,960","83,610","87,760","109,390","131,120"
4931,Delaware,Operations Research Analysts,15-2031,690,1.612,2.33,24.87,31.80,43.03,43.91,52.34,65.27,"51,730","66,130","89,510","91,330","108,860","135,760"
5461,District of Columbia,Operations Research Analysts,15-2031,"1,330",1.936,2.80,29.19,40.14,53.26,56.10,69.78,82.12,"60,720","83,480","110,780","116,700","145,140","170,800"
5976,Florida,Operations Research Analysts,15-2031,"5,570",0.660,0.95,17.16,22.12,31.34,33.96,43.22,54.10,"35,680","46,010","65,180","70,640","89,890","112,520"
6763,Georgia,Operations Research Analysts,15-2031,"3,630",0.843,1.22,19.79,23.54,30.22,34.29,43.62,54.94,"41,150","48,970","62,850","71,320","90,720","114,280"
7508,Hawaii,Operations Research Analysts,15-2031,170,0.300,0.43,25.39,30.17,40.95,42.87,55.79,65.07,"52,810","62,760","85,170","89,180","116,030","135,350"
8076,Idaho,Operations Research Analysts,15-2031,620,0.866,1.25,11.24,18.26,29.42,32.91,45.23,61.58,"23,370","37,980","61,200","68,450","94,090","128,080"
8708,Illinois,Operations Research Analysts,15-2031,"4,270",0.758,1.10,27.40,35.08,46.41,47.70,58.48,69.76,"57,000","72,970","96,540","99,210","121,630","145,100"
9484,Indiana,Operations Research Analysts,15-2031,"1,260",0.433,0.63,20.90,25.56,32.07,35.10,42.43,55.09,"43,470","53,170","66,700","73,000","88,250","114,580"
10230,Iowa,Operations Research Analysts,15-2031,470,0.319,0.46,22.60,28.93,38.97,42.14,53.02,68.56,"47,010","60,170","81,060","87,650","110,290","142,610"
10939,Kansas,Operations Research Analysts,15-2031,640,0.484,0.70,26.41,32.08,41.21,42.15,50.61,60.14,"54,940","66,720","85,720","87,680","105,260","125,090"
11624,Kentucky,Operations Research Analysts,15-2031,"1,200",0.671,0.97,18.68,23.48,30.46,32.68,40.90,50.37,"38,850","48,840","63,350","67,980","85,080","104,770"
