,AREA_TITLE,OCC_TITLE,OCC_CODE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_PCT10,H_PCT25,H_MEDIAN,H_MEAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_MEAN,A_PCT75,A_PCT90
12334,Louisiana,Operations Research Analysts,15-2031,280,0.157,0.23,18.08,26.09,37.90,38.98,50.22,62.26,"37,600","54,270","78,820","81,070","104,450","129,500"
13061,Maine,Operations Research Analysts,15-2031,320,0.563,0.81,22.27,26.50,32.96,35.25,42.03,51.30,"46,330","55,120","68,570","73,310","87,410","106,710"
13693,Maryland,Operations Research Analysts,15-2031,"4,030",1.597,2.31,25.66,34.62,47.90,50.04,64.16,77.98,"53,360","72,010","99,640","104,090","133,460","162,200"
14430,Massachusetts,Operations Research Analysts,15-2031,"2,830",0.846,1.22,25.69,31.65,40.60,44.37,52.87,68.56,"53,430","65,840","84,450","92,290","109,970","142,610"
15166,Michigan,Operations Research Analysts,15-2031,"1,810",0.460,0.67,26.36,31.47,38.66,41.33,49.88,61.82,"54,830","65,450","80,420","85,970","103,760","128,590"
15918,Minnesota,Operations Research Analysts,15-2031,"2,870",1.059,1.53,23.90,31.53,40.52,43.03,51.95,64.46,"49,710","65,570","84,290","89,500","108,050","134,080"
16658,Mississippi,Operations Research Analysts,15-2031,290,0.274,0.40,19.60,27.00,35.25,36.91,45.69,58.05,"40,770","56,150","73,330","76,770","95,040","120,750"
17346,Missouri,Operations Research Analysts,15-2031,"1,450",0.540,0.78,21.04,25.42,37.37,38.55,50.32,60.13,"43,760","52,870","77,720","80,190","104,670","125,070"
18074,Montana,Operations Research Analysts,15-2031,110,0.240,0.35,25.99,27.61,31.10,34.56,38.47,52.81,"54,050","57,420","64,690","71,890","80,010","109,850"
18706,Nebraska,Operations Research Analysts,15-2031,380,0.400,0.58,21.19,26.19,35.34,38.16,49.80,59.80,"44,080","54,470","73,500","79,380","103,590","124,370"
19371,Nevada,Operations Research Analysts,15-2031,210,0.171,0.25,23.79,27.08,32.18,35.94,42.26,54.34,"49,480","56,320","66,930","74,750","87,900","113,020"
20033,New Hampshire,Operations Research Analysts,15-2031,500,0.811,1.17,26.41,32.66,44.65,46.44,58.11,69.87,"54,940","67,930","92,880","96,600","120,860","145,330"
20670,New Jersey,Operations Research Analysts,15-2031,"2,700",0.714,1.03,30.50,38.60,52.40,55.00,67.87,82.32,"63,450","80,280","108,990","114,410","141,160","171,220"
21404,New Mexico,Operations Research Analysts,15-2031,350,0.447,0.65,22.84,29.62,39.90,42.55,55.92,65.24,"47,510","61,610","82,990","88,510","116,310","135,690"
22050,New York,Operations Research Analysts,15-2031,"6,600",0.759,1.10,25.36,32.90,45.11,51.74,62.40,88.83,"52,760","68,440","93,830","107,620","129,800","184,770"
22832,North Carolina,Operations Research Analysts,15-2031,"2,650",0.619,0.89,25.59,32.64,44.58,45.86,57.42,69.67,"53,220","67,880","92,720","95,390","119,430","144,920"
23567,North Dakota,Operations Research Analysts,15-2031,120,0.297,0.43,24.09,28.62,35.82,38.69,45.65,53.19,"50,110","59,540","74,500","80,470","94,960","110,640"
24149,Ohio,Operations Research Analysts,15-2031,"4,830",0.941,1.36,24.52,32.52,42.05,42.99,52.74,63.43,"51,000","67,630","87,470","89,430","109,690","131,930"
24922,Oklahoma,Operations Research Analysts,15-2031,640,0.412,0.60,22.83,28.65,36.42,36.92,45.49,52.21,"47,490","59,590","75,760","76,790","94,620","108,600"
25636,Oregon,Operations Research Analysts,15-2031,"1,230",0.678,0.98,27.69,33.01,41.42,42.77,50.61,61.44,"57,600","68,650","86,160","88,960","105,260","127,800"
26380,Pennsylvania,Operations Research Analysts,15-2031,"3,260",0.592,0.86,24.88,30.53,39.70,41.86,51.09,63.69,"51,750","63,510","82,580","87,060","106,270","132,480"
27149,Rhode Island,Operations Research Analysts,15-2031,390,0.877,1.27,21.95,25.67,42.80,43.57,58.33,69.25,"45,650","53,390","89,030","90,620","121,330","144,040"
27705,South Carolina,Operations Research Analysts,15-2031,900,0.444,0.64,25.52,30.32,39.25,41.11,50.37,60.64,"53,090","63,060","81,640","85,500","104,770","126,120"
28965,Tennessee,Operations Research Analysts,15-2031,"1,370",0.472,0.68,8.64,20.75,28.62,30.63,40.96,52.23,"17,960","43,160","59,530","63,710","85,190","108,650"
29716,Texas,Operations Research Analysts,15-2031,"8,880",0.734,1.06,22.49,30.06,40.87,41.87,51.20,63.27,"46,770","62,520","85,010","87,090","106,500","131,600"
30507,Utah,Operations Research Analysts,15-2031,"1,640",1.098,1.59,18.81,23.23,32.51,35.53,46.43,58.39,"39,120","48,310","67,620","73,910","96,570","121,450"
31205,Vermont,Operations Research Analysts,15-2031,160,0.574,0.83,25.53,29.80,36.96,38.36,46.25,52.58,"53,100","61,980","76,880","79,790","96,200","109,360"
31770,Virginia,Operations Research Analysts,15-2031,"7,350",1.986,2.87,27.31,36.46,51.08,51.97,65.53,80.26,"56,810","75,840","106,250","108,090","136,310","166,930"
32519,Washington,Operations Research Analysts,15-2031,"2,520",0.790,1.14,29.60,36.03,44.16,47.48,54.33,65.44,"61,560","74,940","91,850","98,760","113,010","136,120"
33268,West Virginia,Operations Research Analysts,15-2031,390,0.603,0.87,14.43,18.80,28.71,31.50,38.85,54.65,"30,020","39,100","59,720","65,520","80,800","113,680"
33899,Wisconsin,Operations Research Analysts,15-2031,"1,900",0.702,1.01,21.98,26.98,34.41,39.90,46.71,65.79,"45,720","56,130","71,560","82,980","97,160","136,830"
35404,Puerto Rico,Operations Research Analysts,15-2031,40,0.044,0.06,16.36,19.53,29.03,34.74,46.35,68.25,"34,030","40,630","60,380","72,250","96,410","141,950"
