,AREA_TITLE,OCC_TITLE,OCC_CODE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_PCT10,H_PCT25,H_MEDIAN,H_MEAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_MEAN,A_PCT75,A_PCT90
27136,Rhode Island,Computer Systems Analysts,15-1211,"2,120",4.781,1.16,28.78,37.96,47.31,47.60,57.32,67.74,"59,870","78,960","98,410","99,010","119,230","140,890"
27692,South Carolina,Computer Systems Analysts,15-1211,"8,390",4.164,1.01,20.62,28.27,37.77,40.12,49.04,61.72,"42,890","58,800","78,570","83,450","102,000","128,380"
28380,South Dakota,Computer Systems Analysts,15-1211,850,2.066,0.50,26.95,31.38,36.92,37.87,44.03,51.02,"56,050","65,260","76,790","78,780","91,580","106,120"
28951,Tennessee,Computer Systems Analysts,15-1211,"9,860",3.395,0.82,22.43,29.80,38.49,40.14,49.05,62.01,"46,650","61,970","80,070","83,500","102,020","128,980"
29702,Texas,Computer Systems Analysts,15-1211,"54,770",4.525,1.10,27.95,35.66,46.75,50.33,61.01,77.94,"58,140","74,160","97,240","104,690","126,890","162,110"
30494,Utah,Computer Systems Analysts,15-1211,"3,490",2.347,0.57,22.57,28.47,37.00,37.57,45.61,53.69,"46,950","59,220","76,960","78,140","94,870","111,680"
31194,Vermont,Computer Systems Analysts,15-1211,600,2.142,0.52,27.46,32.46,39.47,41.82,49.20,59.63,"57,110","67,520","82,090","86,980","102,330","124,030"
31756,Virginia,Computer Systems Analysts,15-1211,"23,230",6.277,1.52,30.16,38.23,50.09,54.49,64.36,83.72,"62,740","79,530","104,190","113,340","133,860","174,140"
32505,Washington,Computer Systems Analysts,15-1211,"19,300",6.039,1.46,34.29,41.45,51.08,52.60,63.31,76.11,"71,330","86,210","106,240","109,400","131,690","158,310"
33256,West Virginia,Computer Systems Analysts,15-1211,"1,200",1.839,0.45,20.88,26.43,36.97,39.25,48.66,62.83,"43,420","54,980","76,890","81,640","101,210","130,680"
33886,Wisconsin,Computer Systems Analysts,15-1211,"11,680",4.308,1.04,25.64,31.14,38.94,40.83,48.36,59.02,"53,340","64,780","80,990","84,930","100,580","122,770"
34602,Wyoming,Computer Systems Analysts,15-1211,250,0.968,0.23,20.49,22.80,32.22,31.81,37.98,45.11,"42,620","47,430","67,020","66,170","79,000","93,820"
35112,Guam,Computer Systems Analysts,15-1211,80,1.231,0.30,15.30,19.85,23.24,24.61,28.04,32.91,"31,820","41,290","48,330","51,200","58,330","68,450"
35392,Puerto Rico,Computer Systems Analysts,15-1211,"1,220",1.487,0.36,12.74,17.22,23.37,26.10,31.18,45.76,"26,500","35,820","48,600","54,290","64,850","95,170"
35926,Virgin Islands,Computer Systems Analysts,15-1211,**,**,**,18.94,23.01,25.92,27.15,32.98,37.22,"39,400","47,860","53,910","56,470","68,600","77,410"
