,AREA_TITLE,OCC_TITLE,OCC_CODE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_PCT10,H_PCT25,H_MEDIAN,H_MEAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_MEAN,A_PCT75,A_PCT90
62,Alabama,Computer Systems Analysts,15-1211,"4,900",2.574,0.62,26.99,33.44,42.57,44.97,55.11,67.29,"56,130","69,560","88,550","93,530","114,620","139,960"
791,Alaska,Computer Systems Analysts,15-1211,440,1.473,0.36,27.66,33.49,41.12,41.79,50.28,59.12,"57,540","69,660","85,530","86,930","104,590","122,960"
1316,Arizona,Computer Systems Analysts,15-1211,"11,770",4.153,1.01,27.53,34.32,42.77,44.16,53.44,63.33,"57,270","71,380","88,970","91,840","111,160","131,720"
2042,Arkansas,Computer Systems Analysts,15-1211,"2,730",2.319,0.56,21.66,26.77,33.58,35.19,41.79,50.64,"45,060","55,680","69,840","73,190","86,930","105,330"
2711,California,Computer Systems Analysts,15-1211,"62,640",3.813,0.92,32.14,41.39,53.96,55.66,68.46,83.58,"66,860","86,100","112,240","115,760","142,400","173,840"
3507,Colorado,Computer Systems Analysts,15-1211,"11,160",4.329,1.05,30.90,38.13,48.86,50.50,61.13,74.79,"64,280","79,310","101,620","105,030","127,160","155,560"
4248,Connecticut,Computer Systems Analysts,15-1211,"7,150",4.643,1.12,31.77,37.73,46.46,48.20,56.72,67.31,"66,080","78,470","96,650","100,260","117,980","140,010"
4920,Delaware,Computer Systems Analysts,15-1211,"2,300",5.406,1.31,29.49,36.03,44.82,46.71,55.73,68.93,"61,340","74,940","93,220","97,150","115,920","143,360"
5447,District of Columbia,Computer Systems Analysts,15-1211,"3,010",4.374,1.06,32.04,40.40,51.61,52.15,63.23,76.00,"66,640","84,040","107,350","108,470","131,510","158,080"
5962,Florida,Computer Systems Analysts,15-1211,"29,450",3.489,0.84,22.95,29.22,39.08,42.29,50.98,66.43,"47,750","60,780","81,280","87,960","106,030","138,170"
6750,Georgia,Computer Systems Analysts,15-1211,"18,210",4.227,1.02,28.24,34.92,43.43,44.98,52.94,65.70,"58,740","72,630","90,330","93,570","110,120","136,660"
7496,Hawaii,Computer Systems Analysts,15-1211,"1,810",3.152,0.76,25.83,30.32,37.11,38.63,45.70,53.48,"53,720","63,070","77,190","80,360","95,050","111,230"
8063,Idaho,Computer Systems Analysts,15-1211,"1,630",2.272,0.55,24.33,32.64,41.43,47.34,56.08,76.98,"50,600","67,900","86,180","98,470","116,640","160,130"
8694,Illinois,Computer Systems Analysts,15-1211,"30,470",5.414,1.31,26.56,33.30,44.38,45.17,55.77,66.21,"55,250","69,260","92,310","93,940","116,000","137,710"
9470,Indiana,Computer Systems Analysts,15-1211,"9,520",3.261,0.79,25.20,30.48,37.94,39.67,47.62,57.83,"52,420","63,390","78,910","82,520","99,060","120,290"
10217,Iowa,Computer Systems Analysts,15-1211,"6,400",4.357,1.06,26.67,33.43,41.57,41.84,50.09,59.40,"55,470","69,540","86,470","87,020","104,190","123,540"
10926,Kansas,Computer Systems Analysts,15-1211,"4,680",3.513,0.85,24.37,28.49,34.84,36.80,43.48,53.16,"50,690","59,270","72,470","76,540","90,440","110,560"
11611,Kentucky,Computer Systems Analysts,15-1211,"4,700",2.636,0.64,21.10,26.64,34.92,37.33,46.61,58.53,"43,880","55,410","72,640","77,640","96,950","121,740"
12322,Louisiana,Computer Systems Analysts,15-1211,"2,360",1.308,0.32,25.21,31.03,39.07,42.27,49.48,65.41,"52,430","64,530","81,260","87,930","102,910","136,050"
13049,Maine,Computer Systems Analysts,15-1211,"2,080",3.613,0.87,25.75,30.72,36.52,38.38,44.72,53.82,"53,570","63,900","75,970","79,830","93,010","111,940"
13679,Maryland,Computer Systems Analysts,15-1211,"15,650",6.204,1.50,26.37,34.36,45.78,48.45,59.53,78.93,"54,850","71,470","95,230","100,770","123,810","164,180"
14417,Massachusetts,Computer Systems Analysts,15-1211,"16,350",4.881,1.18,31.68,38.28,47.93,50.27,60.40,74.17,"65,890","79,630","99,690","104,570","125,630","154,280"
15153,Michigan,Computer Systems Analysts,15-1211,"14,860",3.788,0.92,28.09,34.97,43.79,45.60,54.48,66.92,"58,420","72,740","91,080","94,860","113,320","139,200"
15905,Minnesota,Computer Systems Analysts,15-1211,"18,390",6.789,1.64,29.19,36.35,46.32,48.21,57.81,68.86,"60,720","75,610","96,340","100,280","120,240","143,220"
16645,Mississippi,Computer Systems Analysts,15-1211,"1,990",1.847,0.45,20.36,24.34,29.79,32.38,38.22,50.21,"42,350","50,630","61,970","67,360","79,490","104,430"
17333,Missouri,Computer Systems Analysts,15-1211,"10,570",3.928,0.95,23.03,30.94,39.74,40.95,49.64,61.28,"47,910","64,360","82,660","85,180","103,260","127,460"
18063,Montana,Computer Systems Analysts,15-1211,650,1.422,0.34,24.13,28.89,34.22,35.28,39.99,48.32,"50,190","60,080","71,180","73,380","83,190","100,500"
18693,Nebraska,Computer Systems Analysts,15-1211,"4,040",4.286,1.04,25.92,31.72,39.32,40.24,48.19,56.28,"53,920","65,980","81,790","83,690","100,230","117,070"
19359,Nevada,Computer Systems Analysts,15-1211,"1,750",1.402,0.34,27.32,33.52,42.25,43.68,52.99,63.43,"56,820","69,710","87,890","90,860","110,210","131,940"
20020,New Hampshire,Computer Systems Analysts,15-1211,"2,840",4.592,1.11,29.18,35.66,44.15,46.15,55.14,68.32,"60,700","74,170","91,840","95,990","114,680","142,100"
20656,New Jersey,Computer Systems Analysts,15-1211,"18,550",4.904,1.19,28.96,37.54,48.21,50.47,62.49,76.67,"60,230","78,080","100,270","104,980","129,980","159,470"
21391,New Mexico,Computer Systems Analysts,15-1211,"1,600",2.036,0.49,18.55,27.38,35.87,37.06,45.80,56.22,"38,580","56,950","74,620","77,090","95,270","116,940"
22036,New York,Computer Systems Analysts,15-1211,"35,890",4.129,1.00,29.28,37.01,49.13,53.44,66.72,82.73,"60,910","76,980","102,180","111,150","138,780","172,070"
22819,North Carolina,Computer Systems Analysts,15-1211,"25,240",5.886,1.43,27.26,34.68,44.64,46.10,55.84,66.35,"56,700","72,130","92,850","95,890","116,140","138,010"
23556,North Dakota,Computer Systems Analysts,15-1211,280,0.701,0.17,26.28,32.69,39.86,42.06,48.94,60.26,"54,670","68,000","82,910","87,490","101,800","125,330"
24135,Ohio,Computer Systems Analysts,15-1211,"22,960",4.468,1.08,26.77,33.04,41.54,43.30,50.84,62.53,"55,690","68,720","86,410","90,070","105,740","130,060"
24910,Oklahoma,Computer Systems Analysts,15-1211,"3,330",2.133,0.52,24.07,29.06,38.27,40.85,49.55,63.33,"50,070","60,440","79,600","84,970","103,060","131,730"
25623,Oregon,Computer Systems Analysts,15-1211,"6,180",3.417,0.83,30.11,37.72,47.31,47.97,57.44,67.45,"62,620","78,450","98,390","99,770","119,480","140,300"
26366,Pennsylvania,Computer Systems Analysts,15-1211,"20,170",3.659,0.89,27.30,34.31,43.89,46.18,56.02,69.89,"56,780","71,360","91,300","96,050","116,530","145,360"
