,AREA_TITLE,OCC_TITLE,OCC_CODE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_PCT10,H_PCT25,H_MEDIAN,H_MEAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_MEAN,A_PCT75,A_PCT90
69,Alabama,Database Administrators and Architects,15-1245,"2,270",1.194,1.24,24.47,30.08,38.85,41.15,49.88,61.33,"50,890","62,570","80,820","85,600","103,750","127,580"
797,Alaska,Database Administrators and Architects,15-1245,160,0.544,0.57,25.85,30.79,44.02,42.93,52.72,62.07,"53,780","64,040","91,560","89,300","109,660","129,100"
1323,Arizona,Database Administrators and Architects,15-1245,"2,490",0.880,0.92,26.38,35.27,48.40,49.00,61.12,74.13,"54,870","73,360","100,670","101,920","127,120","154,180"
2049,Arkansas,Database Administrators and Architects,15-1245,670,0.570,0.59,22.73,29.45,38.33,38.57,47.41,54.82,"47,280","61,270","79,730","80,220","98,610","114,020"
2718,California,Database Administrators and Architects,15-1245,"15,600",0.950,0.99,28.01,37.28,51.86,54.27,69.02,83.58,"58,270","77,550","107,880","112,870","143,560","173,850"
3514,Colorado,Database Administrators and Architects,15-1245,"3,230",1.251,1.30,24.07,34.68,47.97,47.41,60.65,70.85,"50,060","72,130","99,780","98,600","126,160","147,370"
4255,Connecticut,Database Administrators and Architects,15-1245,"1,710",1.109,1.15,28.45,40.73,53.26,51.70,63.77,73.86,"59,180","84,730","110,790","107,530","132,650","153,630"
4926,Delaware,Database Administrators and Architects,15-1245,740,1.740,1.81,26.01,32.96,45.07,46.40,59.02,70.15,"54,090","68,560","93,740","96,510","122,760","145,910"
5454,District of Columbia,Database Administrators and Architects,15-1245,800,1.162,1.21,31.75,42.18,54.20,54.69,67.18,79.49,"66,050","87,740","112,730","113,760","139,740","165,350"
5969,Florida,Database Administrators and Architects,15-1245,"7,300",0.865,0.90,22.68,32.44,46.25,46.30,59.22,70.96,"47,180","67,470","96,200","96,300","123,180","147,600"
6757,Georgia,Database Administrators and Architects,15-1245,"5,460",1.268,1.32,26.15,35.43,48.03,47.49,59.29,69.45,"54,390","73,700","99,910","98,780","123,320","144,460"
7503,Hawaii,Database Administrators and Architects,15-1245,260,0.445,0.46,25.79,30.14,40.19,40.93,50.13,60.81,"53,640","62,690","83,590","85,130","104,270","126,490"
