,AREA_TITLE,OCC_TITLE,OCC_CODE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_PCT10,H_PCT25,H_MEDIAN,H_MEAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_MEAN,A_PCT75,A_PCT90
8070,Idaho,Database Administrators and Architects,15-1245,390,0.539,0.56,20.96,25.15,36.56,40.07,53.82,62.62,"43,600","52,310","76,030","83,340","111,950","130,260"
8701,Illinois,Database Administrators and Architects,15-1245,"5,590",0.993,1.03,25.01,34.47,47.06,47.01,59.34,70.72,"52,020","71,700","97,870","97,780","123,420","147,100"
9477,Indiana,Database Administrators and Architects,15-1245,"1,670",0.573,0.60,21.73,29.15,38.49,39.40,48.95,59.78,"45,200","60,640","80,060","81,950","101,810","124,350"
10224,Iowa,Database Administrators and Architects,15-1245,840,0.569,0.59,26.26,36.12,47.77,46.71,58.06,66.11,"54,630","75,130","99,370","97,160","120,760","137,510"
10933,Kansas,Database Administrators and Architects,15-1245,940,0.708,0.74,25.96,32.88,43.24,44.21,54.26,66.57,"53,990","68,400","89,930","91,960","112,860","138,460"
11618,Kentucky,Database Administrators and Architects,15-1245,"1,080",0.609,0.63,22.30,31.62,44.12,43.67,55.93,64.83,"46,380","65,780","91,760","90,830","116,330","134,850"
12329,Louisiana,Database Administrators and Architects,15-1245,440,0.242,0.25,22.77,28.45,36.09,39.54,46.29,56.18,"47,360","59,180","75,060","82,250","96,280","116,860"
13055,Maine,Database Administrators and Architects,15-1245,240,0.412,0.43,25.16,31.53,42.86,43.54,55.59,62.37,"52,340","65,570","89,150","90,570","115,620","129,740"
13686,Maryland,Database Administrators and Architects,15-1245,"3,490",1.383,1.44,23.08,31.35,45.99,48.90,64.03,83.61,"48,010","65,210","95,670","101,720","133,180","173,910"
14424,Massachusetts,Database Administrators and Architects,15-1245,"3,940",1.177,1.23,31.79,40.13,54.01,53.70,66.14,77.96,"66,120","83,460","112,340","111,690","137,580","162,160"
15160,Michigan,Database Administrators and Architects,15-1245,"2,400",0.612,0.64,25.53,30.61,40.91,42.52,54.35,63.41,"53,110","63,660","85,090","88,440","113,050","131,890"
15912,Minnesota,Database Administrators and Architects,15-1245,"2,830",1.043,1.09,31.53,39.20,51.02,51.15,62.20,74.64,"65,580","81,530","106,120","106,380","129,380","155,250"
16652,Mississippi,Database Administrators and Architects,15-1245,360,0.336,0.35,22.12,27.31,34.72,38.05,47.23,60.37,"46,010","56,800","72,220","79,150","98,230","125,560"
17340,Missouri,Database Administrators and Architects,15-1245,"3,380",1.254,1.31,22.61,29.35,38.06,40.08,49.46,61.57,"47,030","61,060","79,170","83,360","102,870","128,070"
18069,Montana,Database Administrators and Architects,15-1245,270,0.588,0.61,22.15,27.33,33.71,36.43,41.74,53.45,"46,070","56,850","70,110","75,780","86,830","111,170"
18700,Nebraska,Database Administrators and Architects,15-1245,"1,100",1.172,1.22,25.75,34.86,46.92,45.90,58.21,65.80,"53,560","72,500","97,590","95,480","121,070","136,860"
19365,Nevada,Database Administrators and Architects,15-1245,700,0.562,0.58,27.90,35.87,44.47,45.46,52.47,65.63,"58,030","74,610","92,490","94,550","109,140","136,500"
20027,New Hampshire,Database Administrators and Architects,15-1245,490,0.796,0.83,29.74,37.65,47.46,47.81,58.32,67.83,"61,860","78,310","98,720","99,440","121,300","141,090"
20663,New Jersey,Database Administrators and Architects,15-1245,"3,940",1.041,1.08,35.68,47.49,60.46,59.84,73.12,83.11,"74,220","98,780","125,760","124,470","152,090","172,870"
21398,New Mexico,Database Administrators and Architects,15-1245,530,0.679,0.71,22.39,29.89,36.34,37.63,45.05,54.91,"46,560","62,170","75,590","78,270","93,690","114,210"
22043,New York,Database Administrators and Architects,15-1245,"8,280",0.952,0.99,26.77,35.35,50.12,52.77,67.32,84.00,"55,680","73,520","104,250","109,760","140,020","174,720"
22826,North Carolina,Database Administrators and Architects,15-1245,"4,410",1.027,1.07,27.21,36.73,50.08,49.30,60.74,70.88,"56,600","76,390","104,160","102,550","126,340","147,440"
23562,North Dakota,Database Administrators and Architects,15-1245,120,0.296,0.31,17.74,25.17,39.00,38.05,47.61,51.77,"36,900","52,360","81,120","79,150","99,030","107,680"
24142,Ohio,Database Administrators and Architects,15-1245,"3,860",0.751,0.78,25.62,33.65,44.26,44.25,54.75,63.68,"53,290","69,980","92,060","92,050","113,890","132,450"
24916,Oklahoma,Database Administrators and Architects,15-1245,"2,080",1.331,1.39,21.53,27.78,35.48,37.18,45.69,56.89,"44,780","57,780","73,800","77,340","95,030","118,320"
25630,Oregon,Database Administrators and Architects,15-1245,"1,530",0.846,0.88,27.90,37.77,48.69,47.53,58.62,65.38,"58,040","78,550","101,280","98,860","121,940","136,000"
26373,Pennsylvania,Database Administrators and Architects,15-1245,"6,270",1.138,1.18,22.79,29.57,40.04,41.90,52.28,63.24,"47,400","61,500","83,280","87,150","108,730","131,550"
27143,Rhode Island,Database Administrators and Architects,15-1245,390,0.880,0.92,29.68,37.48,48.12,47.99,57.73,65.14,"61,730","77,960","100,090","99,830","120,080","135,480"
27699,South Carolina,Database Administrators and Architects,15-1245,890,0.442,0.46,22.32,28.72,40.17,41.56,51.88,64.84,"46,420","59,740","83,550","86,450","107,920","134,860"
28386,South Dakota,Database Administrators and Architects,15-1245,150,0.357,0.37,25.85,31.29,39.80,40.79,48.74,56.99,"53,760","65,090","82,790","84,840","101,370","118,530"
28958,Tennessee,Database Administrators and Architects,15-1245,"2,360",0.814,0.85,20.74,30.45,42.35,42.62,55.59,65.17,"43,130","63,340","88,090","88,640","115,640","135,550"
29709,Texas,Database Administrators and Architects,15-1245,"12,020",0.993,1.03,29.63,39.32,50.17,51.10,61.54,74.30,"61,620","81,780","104,360","106,280","128,010","154,540"
30501,Utah,Database Administrators and Architects,15-1245,"1,920",1.293,1.35,24.13,33.42,44.50,44.66,55.93,64.43,"50,180","69,520","92,560","92,900","116,330","134,020"
31200,Vermont,Database Administrators and Architects,15-1245,220,0.798,0.83,19.54,25.34,37.31,38.88,51.11,63.18,"40,650","52,700","77,610","80,880","106,320","131,410"
31763,Virginia,Database Administrators and Architects,15-1245,"7,580",2.047,2.13,27.31,38.38,52.87,52.99,68.13,80.08,"56,810","79,820","109,970","110,230","141,710","166,560"
32512,Washington,Database Administrators and Architects,15-1245,"3,320",1.039,1.08,33.71,45.67,55.70,55.67,67.42,78.42,"70,110","94,980","115,850","115,800","140,230","163,120"
33263,West Virginia,Database Administrators and Architects,15-1245,400,0.614,0.64,23.71,27.55,32.98,37.92,46.04,59.77,"49,310","57,300","68,600","78,870","95,760","124,320"
33893,Wisconsin,Database Administrators and Architects,15-1245,"2,290",0.847,0.88,25.21,32.54,43.59,44.12,56.36,64.89,"52,440","67,680","90,660","91,770","117,230","134,960"
34608,Wyoming,Database Administrators and Architects,15-1245,220,0.844,0.88,20.28,22.69,26.23,28.86,33.02,43.80,"42,170","47,190","54,560","60,040","68,680","91,100"
35398,Puerto Rico,Database Administrators and Architects,15-1245,350,0.422,0.44,9.23,17.21,22.39,23.57,29.78,37.66,"19,190","35,800","46,560","49,030","61,950","78,330"
