,AREA_TITLE,OCC_TITLE,OCC_CODE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_PCT10,H_PCT25,H_MEDIAN,H_MEAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_MEAN,A_PCT75,A_PCT90
70,Alabama,Computer Programmers,15-1251,"3,870",2.034,1.59,24.53,31.13,40.30,42.33,51.21,65.65,"51,020","64,750","83,820","88,040","106,520","136,550"
798,Alaska,Computer Programmers,15-1251,510,1.712,1.34,27.13,34.38,43.34,44.42,52.07,61.23,"56,420","71,510","90,150","92,390","108,310","127,370"
1324,Arizona,Computer Programmers,15-1251,"2,390",0.844,0.66,21.24,33.15,43.10,43.60,52.94,64.81,"44,190","68,950","89,650","90,680","110,120","134,810"
2050,Arkansas,Computer Programmers,15-1251,"1,550",1.319,1.03,23.39,30.37,38.58,41.05,51.61,63.89,"48,660","63,160","80,240","85,390","107,360","132,880"
2719,California,Computer Programmers,15-1251,"21,800",1.327,1.04,29.87,39.19,50.13,51.59,63.49,77.11,"62,120","81,510","104,260","107,300","132,060","160,380"
3515,Colorado,Computer Programmers,15-1251,"1,990",0.771,0.60,19.55,31.20,40.89,40.82,50.59,60.46,"40,670","64,900","85,040","84,900","105,220","125,760"
4256,Connecticut,Computer Programmers,15-1251,"2,260",1.468,1.15,29.93,35.35,42.01,42.49,48.71,56.84,"62,250","73,520","87,370","88,370","101,320","118,240"
4927,Delaware,Computer Programmers,15-1251,760,1.776,1.39,27.49,33.42,42.07,43.72,53.53,63.63,"57,180","69,510","87,510","90,930","111,350","132,360"
5455,District of Columbia,Computer Programmers,15-1251,360,0.527,0.41,38.09,47.72,57.68,57.22,65.27,79.73,"79,230","99,250","119,980","119,010","135,760","165,830"
5970,Florida,Computer Programmers,15-1251,"8,310",0.985,0.77,22.07,27.54,35.45,38.50,47.59,61.41,"45,910","57,280","73,740","80,070","98,980","127,730"
6758,Georgia,Computer Programmers,15-1251,"4,280",0.993,0.78,21.19,32.65,44.62,43.94,55.28,64.75,"44,070","67,900","92,820","91,390","114,970","134,680"
7504,Hawaii,Computer Programmers,15-1251,480,0.832,0.65,22.33,30.11,42.62,41.88,49.30,63.45,"46,440","62,630","88,650","87,100","102,540","131,980"
8071,Idaho,Computer Programmers,15-1251,750,1.041,0.81,17.38,22.91,31.11,34.80,44.22,57.87,"36,140","47,650","64,710","72,380","91,970","120,360"
8702,Illinois,Computer Programmers,15-1251,"6,970",1.238,0.97,27.67,37.29,47.76,48.23,58.38,65.85,"57,560","77,570","99,340","100,320","121,430","136,980"
9478,Indiana,Computer Programmers,15-1251,"3,180",1.089,0.85,21.76,30.61,37.61,41.14,48.75,65.95,"45,260","63,660","78,230","85,560","101,390","137,170"
10225,Iowa,Computer Programmers,15-1251,"1,470",1.000,0.78,18.21,26.99,36.17,35.15,44.97,49.89,"37,880","56,130","75,230","73,110","93,540","103,770"
10934,Kansas,Computer Programmers,15-1251,"1,010",0.757,0.59,25.17,31.30,39.09,40.19,48.60,58.94,"52,360","65,100","81,300","83,590","101,090","122,590"
11619,Kentucky,Computer Programmers,15-1251,"1,190",0.668,0.52,22.76,27.85,35.42,35.97,44.14,50.31,"47,340","57,930","73,680","74,810","91,800","104,650"
12330,Louisiana,Computer Programmers,15-1251,"2,220",1.233,0.96,19.02,24.61,33.80,41.28,48.86,68.55,"39,560","51,180","70,300","85,870","101,620","142,590"
13056,Maine,Computer Programmers,15-1251,540,0.931,0.73,26.52,32.62,40.17,41.52,47.97,55.79,"55,150","67,850","83,550","86,360","99,770","116,050"
13687,Maryland,Computer Programmers,15-1251,"5,880",2.331,1.82,24.45,32.39,43.52,45.83,58.05,72.74,"50,850","67,370","90,520","95,320","120,730","151,300"
14425,Massachusetts,Computer Programmers,15-1251,"5,450",1.627,1.27,26.24,37.61,48.57,49.12,61.11,74.14,"54,580","78,230","101,030","102,170","127,110","154,220"
15161,Michigan,Computer Programmers,15-1251,"3,410",0.869,0.68,20.11,25.03,35.21,36.31,45.88,56.68,"41,840","52,060","73,230","75,520","95,420","117,890"
15913,Minnesota,Computer Programmers,15-1251,"3,330",1.231,0.96,24.87,33.51,43.48,42.28,50.24,57.81,"51,730","69,690","90,440","87,940","104,510","120,240"
16653,Mississippi,Computer Programmers,15-1251,830,0.770,0.60,20.61,26.15,33.20,34.35,39.40,48.86,"42,860","54,400","69,050","71,450","81,940","101,630"
17341,Missouri,Computer Programmers,15-1251,"3,400",1.262,0.99,20.25,29.92,38.14,39.71,48.86,59.46,"42,130","62,220","79,340","82,590","101,630","123,670"
18070,Montana,Computer Programmers,15-1251,690,1.511,1.18,22.39,29.24,35.81,39.62,52.30,61.11,"46,580","60,820","74,480","82,410","108,790","127,100"
18701,Nebraska,Computer Programmers,15-1251,"1,600",1.694,1.32,20.20,26.94,37.76,37.59,47.99,57.60,"42,010","56,030","78,540","78,180","99,810","119,810"
19366,Nevada,Computer Programmers,15-1251,"1,010",0.807,0.63,25.65,33.91,41.87,42.23,49.44,62.33,"53,350","70,520","87,090","87,830","102,840","129,650"
20028,New Hampshire,Computer Programmers,15-1251,"1,230",1.993,1.56,20.29,28.30,37.60,40.16,49.40,59.73,"42,200","58,860","78,210","83,530","102,760","124,230"
