,AREA_TITLE,OCC_TITLE,OCC_CODE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_PCT10,H_PCT25,H_MEDIAN,H_MEAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_MEAN,A_PCT75,A_PCT90
20664,New Jersey,Computer Programmers,15-1251,"7,120",1.881,1.47,26.34,30.86,40.88,44.70,57.28,72.49,"54,780","64,180","85,030","92,980","119,140","150,780"
21399,New Mexico,Computer Programmers,15-1251,980,1.250,0.98,19.11,25.14,34.44,35.66,43.53,56.41,"39,750","52,280","71,640","74,180","90,540","117,340"
22044,New York,Computer Programmers,15-1251,"12,910",1.485,1.16,24.13,31.37,40.64,43.89,53.81,70.83,"50,190","65,250","84,530","91,290","111,920","147,320"
22827,North Carolina,Computer Programmers,15-1251,"5,360",1.251,0.98,26.70,34.07,44.44,46.73,57.31,73.46,"55,540","70,870","92,440","97,200","119,200","152,790"
23563,North Dakota,Computer Programmers,15-1251,480,1.198,0.94,25.66,28.94,35.37,37.15,42.44,49.95,"53,370","60,200","73,580","77,260","88,270","103,900"
24143,Ohio,Computer Programmers,15-1251,"5,480",1.066,0.83,24.44,30.33,40.48,41.56,50.34,62.50,"50,830","63,080","84,190","86,440","104,720","130,000"
24917,Oklahoma,Computer Programmers,15-1251,"1,060",0.676,0.53,23.67,30.22,37.26,39.45,48.12,59.08,"49,240","62,850","77,500","82,050","100,080","122,890"
25631,Oregon,Computer Programmers,15-1251,"1,530",0.846,0.66,23.30,31.46,40.71,40.39,48.59,57.30,"48,460","65,430","84,680","84,010","101,070","119,180"
26374,Pennsylvania,Computer Programmers,15-1251,"7,420",1.346,1.05,25.69,33.43,43.69,44.60,55.32,66.46,"53,440","69,530","90,880","92,760","115,070","138,240"
27144,Rhode Island,Computer Programmers,15-1251,"1,090",2.466,1.93,*,*,*,*,*,*,*,*,*,*,*,*
27700,South Carolina,Computer Programmers,15-1251,"2,050",1.015,0.79,20.54,28.60,38.87,38.44,47.71,57.14,"42,720","59,490","80,850","79,960","99,240","118,850"
28387,South Dakota,Computer Programmers,15-1251,360,0.882,0.69,20.64,23.22,27.26,28.00,31.41,37.78,"42,930","48,300","56,710","58,250","65,320","78,580"
28959,Tennessee,Computer Programmers,15-1251,"2,330",0.802,0.63,22.38,28.69,39.79,41.79,51.99,64.59,"46,550","59,680","82,760","86,930","108,140","134,340"
29710,Texas,Computer Programmers,15-1251,"18,070",1.493,1.17,27.34,34.03,44.15,49.35,57.43,70.89,"56,870","70,790","91,830","102,650","119,460","147,450"
30502,Utah,Computer Programmers,15-1251,"2,210",1.487,1.16,19.44,28.90,40.52,40.94,51.75,62.60,"40,440","60,110","84,270","85,160","107,640","130,210"
31201,Vermont,Computer Programmers,15-1251,230,0.835,0.65,22.02,24.76,42.99,45.08,60.00,75.77,"45,800","51,500","89,420","93,760","124,800","157,610"
31764,Virginia,Computer Programmers,15-1251,"6,750",1.825,1.42,26.95,34.03,47.14,49.59,59.99,74.21,"56,050","70,780","98,040","103,150","124,790","154,350"
32513,Washington,Computer Programmers,15-1251,"5,160",1.614,1.26,34.78,48.78,70.01,85.20,#,#,"72,340","101,470","145,630","177,210",#,#
33264,West Virginia,Computer Programmers,15-1251,370,0.565,0.44,19.89,25.58,33.15,38.08,47.88,64.77,"41,370","53,210","68,960","79,210","99,580","134,720"
33894,Wisconsin,Computer Programmers,15-1251,"4,310",1.591,1.24,25.95,31.33,39.13,43.11,50.61,63.99,"53,980","65,170","81,380","89,670","105,280","133,090"
34609,Wyoming,Computer Programmers,15-1251,170,0.635,0.50,17.08,21.03,39.84,37.09,49.02,59.18,"35,530","43,750","82,870","77,140","101,960","123,090"
35399,Puerto Rico,Computer Programmers,15-1251,"1,250",1.525,1.19,11.40,15.14,20.59,22.81,29.78,37.61,"23,700","31,490","42,820","47,440","61,950","78,230"
