,AREA_TITLE,OCC_TITLE,OCC_CODE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_PCT10,H_PCT25,H_MEDIAN,H_MEAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_MEAN,A_PCT75,A_PCT90
72,Alabama,Web Developers and Digital Interface Designers,15-1257,710,0.373,0.33,16.67,23.02,30.56,34.23,39.92,57.72,"34,670","47,880","63,560","71,190","83,040","120,060"
800,Alaska,Web Developers and Digital Interface Designers,15-1257,70,0.244,0.22,17.09,23.47,35.75,34.02,44.78,49.06,"35,550","48,820","74,360","70,760","93,140","102,040"
1326,Arizona,Web Developers and Digital Interface Designers,15-1257,"3,080",1.088,0.97,16.86,20.38,30.42,33.28,44.15,56.13,"35,060","42,390","63,270","69,230","91,840","116,760"
2052,Arkansas,Web Developers and Digital Interface Designers,15-1257,640,0.542,0.48,11.97,15.25,20.60,22.66,28.31,36.78,"24,910","31,710","42,840","47,140","58,890","76,500"
2721,California,Web Developers and Digital Interface Designers,15-1257,"22,020",1.340,1.19,22.26,29.62,42.99,45.65,59.54,75.75,"46,300","61,610","89,420","94,960","123,840","157,550"
3517,Colorado,Web Developers and Digital Interface Designers,15-1257,"4,270",1.655,1.47,20.76,25.96,35.04,38.34,45.67,61.40,"43,180","53,990","72,890","79,750","95,000","127,710"
4258,Connecticut,Web Developers and Digital Interface Designers,15-1257,"1,570",1.019,0.91,21.26,25.97,36.65,39.48,49.15,61.68,"44,230","54,020","76,230","82,120","102,230","128,290"
4929,Delaware,Web Developers and Digital Interface Designers,15-1257,330,0.765,0.68,21.50,28.19,36.96,38.16,47.95,58.19,"44,710","58,630","76,880","79,370","99,740","121,030"
5457,District of Columbia,Web Developers and Digital Interface Designers,15-1257,"1,550",2.251,2.00,21.26,31.99,40.30,41.93,52.78,63.22,"44,220","66,530","83,830","87,220","109,780","131,510"
5972,Florida,Web Developers and Digital Interface Designers,15-1257,"7,310",0.865,0.77,16.16,21.91,31.44,32.60,40.36,52.12,"33,620","45,580","65,400","67,810","83,950","108,410"
6760,Georgia,Web Developers and Digital Interface Designers,15-1257,"3,600",0.835,0.74,25.55,33.31,43.84,44.99,55.23,65.86,"53,150","69,280","91,190","93,590","114,880","137,000"
