,AREA_TITLE,OCC_TITLE,OCC_CODE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_PCT10,H_PCT25,H_MEDIAN,H_MEAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_MEAN,A_PCT75,A_PCT90
7506,Hawaii,Web Developers and Digital Interface Designers,15-1257,250,0.442,0.39,19.07,26.68,33.61,33.55,39.41,47.46,"39,660","55,490","69,900","69,770","81,970","98,710"
8073,Idaho,Web Developers and Digital Interface Designers,15-1257,460,0.647,0.58,12.39,16.20,24.60,25.09,30.29,38.37,"25,770","33,710","51,160","52,190","63,000","79,810"
8704,Illinois,Web Developers and Digital Interface Designers,15-1257,"5,590",0.993,0.88,18.94,26.56,36.50,38.31,48.31,60.58,"39,400","55,250","75,910","79,690","100,480","126,010"
9480,Indiana,Web Developers and Digital Interface Designers,15-1257,"1,870",0.639,0.57,14.60,21.01,27.70,29.32,36.70,47.15,"30,370","43,690","57,620","60,980","76,330","98,080"
10227,Iowa,Web Developers and Digital Interface Designers,15-1257,"1,330",0.907,0.81,16.54,21.90,28.52,31.55,38.42,51.70,"34,400","45,550","59,310","65,620","79,920","107,540"
10936,Kansas,Web Developers and Digital Interface Designers,15-1257,"1,160",0.868,0.77,18.34,23.18,28.92,31.65,37.28,50.43,"38,150","48,220","60,160","65,840","77,550","104,890"
11621,Kentucky,Web Developers and Digital Interface Designers,15-1257,960,0.539,0.48,19.36,25.70,31.32,33.32,38.53,54.38,"40,280","53,460","65,150","69,310","80,150","113,110"
12332,Louisiana,Web Developers and Digital Interface Designers,15-1257,480,0.266,0.24,9.22,17.08,23.49,25.53,31.77,45.61,"19,170","35,520","48,860","53,100","66,090","94,860"
13058,Maine,Web Developers and Digital Interface Designers,15-1257,380,0.662,0.59,18.35,21.25,25.14,28.21,34.91,43.04,"38,160","44,200","52,290","58,670","72,610","89,520"
13689,Maryland,Web Developers and Digital Interface Designers,15-1257,"4,040",1.600,1.42,20.17,27.51,37.96,41.34,50.13,66.51,"41,960","57,220","78,950","85,990","104,260","138,340"
14427,Massachusetts,Web Developers and Digital Interface Designers,15-1257,"5,130",1.531,1.36,24.48,31.62,41.84,43.98,54.26,66.58,"50,910","65,760","87,020","91,480","112,860","138,480"
15163,Michigan,Web Developers and Digital Interface Designers,15-1257,"2,120",0.539,0.48,16.18,23.16,32.43,33.21,40.75,51.98,"33,660","48,180","67,460","69,080","84,770","108,120"
15915,Minnesota,Web Developers and Digital Interface Designers,15-1257,"2,720",1.003,0.89,23.11,28.31,37.10,39.66,50.00,60.50,"48,080","58,890","77,160","82,500","103,990","125,840"
16655,Mississippi,Web Developers and Digital Interface Designers,15-1257,320,0.302,0.27,16.51,20.75,28.02,31.21,38.34,52.80,"34,340","43,170","58,290","64,930","79,740","109,830"
17343,Missouri,Web Developers and Digital Interface Designers,15-1257,"3,270",1.217,1.08,20.68,25.06,33.41,34.77,42.72,52.22,"43,020","52,130","69,490","72,330","88,860","108,620"
18072,Montana,Web Developers and Digital Interface Designers,15-1257,560,1.228,1.09,15.75,18.94,25.87,26.42,30.94,37.72,"32,760","39,400","53,810","54,950","64,360","78,460"
18703,Nebraska,Web Developers and Digital Interface Designers,15-1257,800,0.844,0.75,17.68,23.87,28.89,30.98,37.15,48.52,"36,780","49,640","60,080","64,440","77,280","100,910"
19368,Nevada,Web Developers and Digital Interface Designers,15-1257,710,0.564,0.50,14.96,22.54,31.49,32.41,40.47,49.42,"31,110","46,880","65,510","67,420","84,180","102,790"
20030,New Hampshire,Web Developers and Digital Interface Designers,15-1257,590,0.946,0.84,17.30,22.61,30.93,33.32,41.06,54.27,"35,980","47,030","64,330","69,310","85,400","112,880"
20666,New Jersey,Web Developers and Digital Interface Designers,15-1257,"4,010",1.060,0.94,22.51,31.72,41.74,43.61,53.70,71.59,"46,820","65,990","86,810","90,710","111,690","148,910"
21401,New Mexico,Web Developers and Digital Interface Designers,15-1257,260,0.326,0.29,17.09,21.85,27.35,29.23,31.46,40.15,"35,540","45,440","56,900","60,810","65,440","83,510"
22046,New York,Web Developers and Digital Interface Designers,15-1257,"12,950",1.490,1.33,19.87,27.30,36.75,40.44,50.80,66.92,"41,320","56,790","76,450","84,110","105,670","139,200"
22829,North Carolina,Web Developers and Digital Interface Designers,15-1257,"4,660",1.088,0.97,18.75,24.97,33.69,37.46,48.35,62.26,"39,010","51,940","70,070","77,910","100,580","129,490"
23565,North Dakota,Web Developers and Digital Interface Designers,15-1257,170,0.416,0.37,15.95,18.09,25.29,27.56,35.13,45.28,"33,170","37,630","52,600","57,320","73,060","94,190"
24145,Ohio,Web Developers and Digital Interface Designers,15-1257,"4,650",0.905,0.81,17.96,24.27,33.85,34.42,43.16,52.31,"37,350","50,470","70,400","71,590","89,780","108,800"
24919,Oklahoma,Web Developers and Digital Interface Designers,15-1257,700,0.446,0.40,15.99,20.24,27.77,29.81,36.16,47.66,"33,270","42,100","57,770","62,000","75,210","99,130"
25633,Oregon,Web Developers and Digital Interface Designers,15-1257,"2,450",1.355,1.21,18.15,25.74,36.85,42.88,50.76,63.89,"37,760","53,540","76,640","89,190","105,580","132,880"
26376,Pennsylvania,Web Developers and Digital Interface Designers,15-1257,"4,480",0.813,0.72,20.19,26.57,34.56,35.36,43.49,52.13,"42,000","55,270","71,880","73,540","90,460","108,420"
27146,Rhode Island,Web Developers and Digital Interface Designers,15-1257,480,1.093,0.97,26.17,29.03,36.57,40.25,46.72,57.77,"54,420","60,380","76,070","83,720","97,170","120,160"
27702,South Carolina,Web Developers and Digital Interface Designers,15-1257,"1,510",0.748,0.67,18.33,25.84,34.93,36.32,46.53,59.30,"38,120","53,740","72,640","75,540","96,780","123,350"
28389,South Dakota,Web Developers and Digital Interface Designers,15-1257,270,0.647,0.58,16.89,19.99,24.79,26.44,31.60,39.19,"35,120","41,580","51,570","55,000","65,740","81,510"
28961,Tennessee,Web Developers and Digital Interface Designers,15-1257,"2,150",0.739,0.66,12.48,20.07,26.77,30.39,38.09,51.41,"25,960","41,750","55,680","63,210","79,230","106,940"
29712,Texas,Web Developers and Digital Interface Designers,15-1257,"9,830",0.812,0.72,20.07,26.29,34.71,36.77,46.22,58.77,"41,750","54,680","72,190","76,480","96,130","122,240"
30504,Utah,Web Developers and Digital Interface Designers,15-1257,"2,730",1.830,1.63,14.67,22.35,33.02,34.69,44.23,58.15,"30,520","46,490","68,680","72,150","92,010","120,950"
31203,Vermont,Web Developers and Digital Interface Designers,15-1257,290,1.045,0.93,19.58,21.58,24.88,29.54,36.33,47.02,"40,730","44,880","51,760","61,450","75,570","97,790"
31766,Virginia,Web Developers and Digital Interface Designers,15-1257,"5,490",1.484,1.32,21.21,28.52,38.84,41.93,52.73,69.16,"44,130","59,310","80,790","87,210","109,680","143,850"
32515,Washington,Web Developers and Digital Interface Designers,15-1257,"16,220",5.077,4.52,30.25,46.01,67.13,64.32,86.67,96.34,"62,920","95,710","139,620","133,790","180,270","200,380"
33266,West Virginia,Web Developers and Digital Interface Designers,15-1257,280,0.430,0.38,14.30,17.90,25.05,27.30,35.71,44.12,"29,740","37,230","52,090","56,780","74,270","91,770"
33896,Wisconsin,Web Developers and Digital Interface Designers,15-1257,"4,630",1.709,1.52,17.06,22.19,29.19,31.03,39.50,47.33,"35,490","46,150","60,710","64,550","82,170","98,450"
34611,Wyoming,Web Developers and Digital Interface Designers,15-1257,140,0.545,0.49,13.78,16.37,21.60,24.08,31.03,38.29,"28,670","34,040","44,920","50,080","64,530","79,650"
35401,Puerto Rico,Web Developers and Digital Interface Designers,15-1257,360,0.433,0.39,9.03,12.61,16.85,19.03,23.95,29.98,"18,770","26,240","35,050","39,570","49,810","62,350"
