,AREA_TITLE,OCC_TITLE,OCC_CODE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_PCT10,H_PCT25,H_MEDIAN,H_MEAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_MEAN,A_PCT75,A_PCT90
76,Alabama,Statisticians,15-2041,210,0.110,0.39,20.45,24.49,29.58,31.73,36.09,46.91,"42,530","50,930","61,530","65,990","75,070","97,570"
803,Alaska,Statisticians,15-2041,70,0.250,0.89,29.04,35.06,42.37,43.89,52.32,58.97,"60,390","72,930","88,120","91,280","108,830","122,650"
1330,Arizona,Statisticians,15-2041,530,0.186,0.67,26.83,35.10,45.63,46.06,57.19,67.85,"55,800","73,000","94,910","95,800","118,950","141,120"
2056,Arkansas,Statisticians,15-2041,470,0.400,1.43,*,*,*,*,*,*,*,*,*,*,*,*
2726,California,Statisticians,15-2041,"4,910",0.299,1.07,29.42,38.88,51.95,53.87,66.76,80.74,"61,190","80,880","108,060","112,050","138,860","167,940"
3522,Colorado,Statisticians,15-2041,"1,100",0.428,1.53,27.65,32.22,39.60,41.57,48.50,58.38,"57,520","67,010","82,360","86,470","100,880","121,430"
4262,Connecticut,Statisticians,15-2041,430,0.280,1.00,31.60,36.57,44.55,47.20,52.99,67.02,"65,740","76,060","92,660","98,180","110,220","139,410"
4932,Delaware,Statisticians,15-2041,120,0.280,1.00,19.49,35.57,44.68,47.15,59.81,76.54,"40,530","73,990","92,930","98,080","124,400","159,210"
5462,District of Columbia,Statisticians,15-2041,"1,320",1.922,6.88,28.71,39.53,55.94,53.83,66.10,75.82,"59,710","82,220","116,350","111,970","137,490","157,710"
5977,Florida,Statisticians,15-2041,"1,270",0.150,0.54,14.19,21.58,34.92,34.75,45.82,54.86,"29,510","44,880","72,640","72,280","95,300","114,120"
6764,Georgia,Statisticians,15-2041,550,0.127,0.45,31.24,40.15,52.38,51.71,64.71,71.97,"64,980","83,520","108,940","107,560","134,590","149,700"
7509,Hawaii,Statisticians,15-2041,180,0.309,1.11,23.78,28.05,33.87,36.13,42.76,53.43,"49,460","58,340","70,440","75,140","88,940","111,140"
8077,Idaho,Statisticians,15-2041,80,0.117,0.42,25.27,28.91,55.19,56.34,85.29,96.21,"52,560","60,130","114,790","117,190","177,400","200,120"
8709,Illinois,Statisticians,15-2041,"1,620",0.289,1.03,29.26,35.34,44.12,46.69,55.73,67.57,"60,860","73,500","91,770","97,110","115,910","140,550"
9485,Indiana,Statisticians,15-2041,470,0.161,0.58,22.00,26.68,38.12,42.95,46.73,60.47,"45,760","55,500","79,290","89,340","97,200","125,770"
10231,Iowa,Statisticians,15-2041,650,0.443,1.59,15.64,18.11,26.54,30.57,39.34,53.03,"32,520","37,660","55,210","63,580","81,830","110,300"
10940,Kansas,Statisticians,15-2041,150,0.110,0.39,28.37,36.74,48.08,48.18,58.70,67.43,"59,010","76,420","100,010","100,210","122,090","140,250"
11625,Kentucky,Statisticians,15-2041,200,0.112,0.40,26.28,29.25,36.91,38.83,46.99,57.62,"54,670","60,830","76,770","80,770","97,740","119,850"
12335,Louisiana,Statisticians,15-2041,80,0.043,0.16,21.57,31.95,39.62,38.69,47.25,52.65,"44,870","66,450","82,420","80,480","98,280","109,510"
13062,Maine,Statisticians,15-2041,90,0.157,0.56,22.95,26.38,31.80,32.52,38.30,43.88,"47,730","54,880","66,140","67,640","79,660","91,260"
13694,Maryland,Statisticians,15-2041,"3,250",1.288,4.61,35.79,44.28,54.29,54.38,64.16,71.94,"74,440","92,100","112,920","113,100","133,440","149,630"
14431,Massachusetts,Statisticians,15-2041,"2,620",0.781,2.80,33.50,40.02,52.58,55.86,69.04,81.06,"69,690","83,250","109,370","116,180","143,590","168,610"
15167,Michigan,Statisticians,15-2041,790,0.201,0.72,19.14,28.68,36.47,37.61,45.73,56.31,"39,800","59,650","75,850","78,230","95,110","117,130"
15919,Minnesota,Statisticians,15-2041,870,0.320,1.15,27.00,32.33,40.02,42.61,50.17,64.71,"56,150","67,240","83,240","88,620","104,350","134,590"
17347,Missouri,Statisticians,15-2041,590,0.221,0.79,19.05,25.81,32.19,36.31,46.24,57.89,"39,620","53,690","66,950","75,530","96,190","120,420"
18075,Montana,Statisticians,15-2041,50,0.108,0.39,21.27,24.39,29.81,32.69,38.90,49.36,"44,240","50,730","62,010","68,000","80,910","102,670"
18707,Nebraska,Statisticians,15-2041,210,0.223,0.80,20.77,26.16,34.02,35.05,41.81,51.13,"43,190","54,400","70,770","72,910","86,960","106,350"
19372,Nevada,Statisticians,15-2041,170,0.138,0.49,24.81,37.50,47.03,46.46,52.41,60.67,"51,610","78,000","97,820","96,640","109,020","126,190"
20034,New Hampshire,Statisticians,15-2041,70,0.118,0.42,27.20,30.50,37.37,39.15,46.43,56.18,"56,570","63,450","77,730","81,440","96,570","116,850"
20671,New Jersey,Statisticians,15-2041,980,0.258,0.92,28.32,40.44,56.51,56.20,70.98,82.39,"58,900","84,110","117,550","116,890","147,640","171,360"
21405,New Mexico,Statisticians,15-2041,70,0.085,0.31,16.05,18.39,29.66,35.96,48.56,70.64,"33,380","38,250","61,690","74,790","101,000","146,940"
22051,New York,Statisticians,15-2041,"1,230",0.141,0.51,31.36,37.49,47.51,50.19,59.03,74.56,"65,220","77,980","98,830","104,400","122,780","155,080"
22833,North Carolina,Statisticians,15-2041,"1,820",0.425,1.52,27.62,33.03,48.31,49.55,61.59,76.63,"57,450","68,710","100,480","103,060","128,110","159,390"
23568,North Dakota,Statisticians,15-2041,70,0.178,0.64,21.76,26.32,30.33,34.35,41.00,50.21,"45,260","54,740","63,090","71,450","85,270","104,430"
24150,Ohio,Statisticians,15-2041,970,0.189,0.68,23.72,30.18,39.08,42.25,53.72,67.50,"49,330","62,770","81,280","87,890","111,750","140,410"
24923,Oklahoma,Statisticians,15-2041,270,0.170,0.61,19.45,23.39,28.53,31.95,35.41,54.09,"40,460","48,650","59,340","66,450","73,650","112,520"
25637,Oregon,Statisticians,15-2041,670,0.369,1.32,22.07,29.47,37.38,38.12,45.25,56.18,"45,900","61,290","77,760","79,290","94,110","116,850"
26381,Pennsylvania,Statisticians,15-2041,"2,720",0.494,1.77,23.64,29.42,39.74,44.55,57.80,75.59,"49,170","61,200","82,670","92,670","120,220","157,230"
27150,Rhode Island,Statisticians,15-2041,30,0.072,0.26,36.28,41.30,47.94,48.68,54.06,63.50,"75,460","85,900","99,710","101,250","112,440","132,080"
27706,South Carolina,Statisticians,15-2041,310,0.153,0.55,21.23,25.06,32.37,34.51,41.74,51.20,"44,160","52,130","67,330","71,780","86,810","106,490"
28966,Tennessee,Statisticians,15-2041,**,**,**,22.92,28.61,35.80,37.73,44.82,55.71,"47,670","59,510","74,450","78,470","93,220","115,880"
29717,Texas,Statisticians,15-2041,"1,930",0.160,0.57,23.21,31.52,40.09,41.95,51.08,62.99,"48,270","65,570","83,400","87,250","106,240","131,010"
30508,Utah,Statisticians,15-2041,510,0.340,1.22,20.30,23.54,33.84,35.46,45.36,56.25,"42,220","48,970","70,400","73,750","94,350","117,010"
31206,Vermont,Statisticians,15-2041,100,0.343,1.23,25.46,28.99,35.08,38.86,40.56,73.38,"52,950","60,310","72,980","80,840","84,370","152,640"
31771,Virginia,Statisticians,15-2041,"1,230",0.333,1.19,*,*,*,*,*,*,*,*,*,*,*,*
32520,Washington,Statisticians,15-2041,"1,350",0.422,1.51,33.73,40.03,47.61,49.77,57.84,68.90,"70,160","83,260","99,020","103,520","120,310","143,310"
33269,West Virginia,Statisticians,15-2041,130,0.195,0.70,16.89,21.79,35.41,36.56,49.85,59.37,"35,140","45,320","73,650","76,050","103,690","123,480"
